name,n,method,model_path,score,T,CNOT,depth,peak_ancilla,correct,time_s
large_n8_18,8,and_resource_nmcts,random-prior:4,804.46,700,1303,1303,4,True,17.17
large_n8_18,8,and_resource_nmcts,random-prior:5,804.46,700,1303,1303,4,True,17.11
large_n8_18,8,and_resource_nmcts,random-prior:2,804.46,700,1303,1303,4,True,17.21
large_n8_18,8,and_resource_nmcts,random-prior:6,804.46,700,1303,1303,4,True,17.16
large_n8_18,8,and_resource_nmcts,random-prior:7,804.46,700,1303,1303,4,True,17.05
large_n8_19,8,and_resource_nmcts,,786.5799999999999,684,1246,1258,5,True,22.63
large_n8_19,8,and_resource_nmcts,random-prior:0,786.5799999999999,684,1246,1258,5,True,22.11
large_n8_19,8,and_resource_nmcts,random-prior:2,786.5799999999999,684,1246,1258,5,True,22.29
large_n8_19,8,and_resource_nmcts,random-prior:1,786.5799999999999,684,1246,1258,5,True,22.35
large_n8_19,8,and_resource_nmcts,models/action_scorer_v2.pt,786.5799999999999,684,1246,1258,5,True,22.69
large_n8_19,8,and_resource_nmcts,random-prior:3,786.5799999999999,684,1246,1258,5,True,23.37
large_n8_19,8,and_resource_nmcts,random-prior:4,786.5799999999999,684,1246,1258,5,True,26.97
large_n8_19,8,and_resource_nmcts,random-prior:6,786.5799999999999,684,1246,1258,5,True,27.0
large_n8_19,8,and_resource_nmcts,random-prior:7,786.5799999999999,684,1246,1258,5,True,27.04
large_n8_19,8,and_resource_nmcts,random-prior:5,786.5799999999999,684,1246,1258,5,True,27.26
large_n10_1,10,and_resource_nmcts,,4427.57,3916,6733,6744,7,True,501.25
large_n10_1,10,and_resource_nmcts,models/action_scorer_v2.pt,4427.57,3916,6733,6744,7,True,501.96
large_n10_0,10,and_resource_nmcts,,4379.08,3872,6673,6683,7,True,652.51
large_n10_0,10,and_resource_nmcts,models/action_scorer_v2.pt,4379.08,3872,6673,6683,7,True,655.95
large_n10_0,10,and_resource_nmcts,random-prior:2,4379.08,3872,6673,6683,7,True,655.65
large_n10_0,10,and_resource_nmcts,random-prior:0,4379.08,3872,6673,6683,7,True,658.64
large_n10_0,10,and_resource_nmcts,random-prior:4,4379.08,3872,6673,6683,7,True,656.2
large_n10_0,10,and_resource_nmcts,random-prior:5,4379.08,3872,6673,6683,7,True,654.09
large_n10_0,10,and_resource_nmcts,random-prior:1,4379.08,3872,6673,6683,7,True,659.53
large_n10_0,10,and_resource_nmcts,random-prior:3,4379.08,3872,6673,6683,7,True,660.82
large_n10_0,10,and_resource_nmcts,random-prior:6,4379.08,3872,6673,6683,7,True,647.38
large_n10_0,10,and_resource_nmcts,random-prior:7,4379.08,3872,6673,6683,7,True,647.81
large_n10_1,10,and_resource_nmcts,random-prior:0,4427.57,3916,6733,6744,7,True,587.52
large_n10_1,10,and_resource_nmcts,random-prior:1,4427.57,3916,6733,6744,7,True,590.69
large_n10_1,10,and_resource_nmcts,random-prior:2,4427.57,3916,6733,6744,7,True,583.5
large_n10_1,10,and_resource_nmcts,random-prior:3,4427.57,3916,6733,6744,7,True,584.37
large_n10_1,10,and_resource_nmcts,random-prior:4,4427.57,3916,6733,6744,7,True,584.94
large_n10_1,10,and_resource_nmcts,random-prior:5,4427.57,3916,6733,6744,7,True,588.37
large_n10_1,10,and_resource_nmcts,random-prior:7,4427.57,3916,6733,6744,7,True,589.76
large_n10_1,10,and_resource_nmcts,random-prior:6,4427.57,3916,6733,6744,7,True,593.23
large_n10_2,10,and_resource_nmcts,models/action_scorer_v2.pt,4349.829999999999,3848,6603,6612,7,True,779.05
large_n10_2,10,and_resource_nmcts,,4349.829999999999,3848,6603,6612,7,True,786.49
large_n10_2,10,and_resource_nmcts,random-prior:0,4349.829999999999,3848,6603,6612,7,True,795.02
large_n10_2,10,and_resource_nmcts,random-prior:1,4349.829999999999,3848,6603,6612,7,True,798.55
large_n10_3,10,and_resource_nmcts,,4359.47,3856,6623,6636,7,True,479.21
large_n10_3,10,and_resource_nmcts,models/action_scorer_v2.pt,4359.47,3856,6623,6636,7,True,479.79
large_n10_2,10,and_resource_nmcts,random-prior:3,4349.829999999999,3848,6603,6612,7,True,807.76
large_n10_2,10,and_resource_nmcts,random-prior:2,4349.829999999999,3848,6603,6612,7,True,816.27
large_n10_3,10,and_resource_nmcts,random-prior:0,4359.47,3856,6623,6636,7,True,492.43
large_n10_3,10,and_resource_nmcts,random-prior:1,4359.47,3856,6623,6636,7,True,493.27
large_n10_3,10,and_resource_nmcts,random-prior:2,4359.47,3856,6623,6636,7,True,495.14
large_n10_3,10,and_resource_nmcts,random-prior:3,4359.47,3856,6623,6636,7,True,496.14
large_n10_2,10,and_resource_nmcts,random-prior:4,4349.829999999999,3848,6603,6612,7,True,802.08
large_n10_2,10,and_resource_nmcts,random-prior:5,4349.829999999999,3848,6603,6612,7,True,803.77
