split,target,baseline,metric,items,wins,losses,ties,mean_relative
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,rz_total,38,6,2,30,-0.00429234419228473
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,CNOT,38,10,3,25,-0.012518725746189372
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,depth,38,11,3,24,-0.010865011945021054
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,score_synth_tperrz30,38,7,3,28,0.0008978252045185811
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,score,38,7,3,28,-0.0006699666687972957
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,score_rz1,38,7,3,28,0.0004072476692271274
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,rz_total,38,3,4,31,0.004844086484623999
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,CNOT,38,6,3,29,-0.0036572107210534215
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top512,depth,38,7,3,28,-0.001956078717522331
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,17,0,21,-0.024723951900430786
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,score,38,16,1,21,-0.06088263988506082
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,score_rz1,38,17,0,21,-0.036329256182460364
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,0,35,-0.013674812030075187
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,rz_total,38,16,0,22,-0.04833647265161409
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,CNOT,38,16,1,21,-0.022739296343480615
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_budget32_tperrz30,depth,38,16,1,21,-0.030147444266835237
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,6,32,8.187274387443733e-05
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,score,38,0,6,32,0.006652776534372022
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,score_rz1,38,0,6,32,0.0018404964652192807
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,rz_total,38,0,5,33,0.005156939968970044
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,CNOT,38,1,4,33,0.0036753222874010634
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_wide128_tperrz30,depth,38,1,5,32,0.003974523134953895
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,score_synth_tperrz30,38,15,0,23,-0.0017909115120864844
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,score,38,15,0,23,-0.04106323755996279
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,score_rz1,38,15,0,23,-0.013912081595108107
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,rz_total,38,10,1,27,-0.012323131324116915
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,CNOT,38,9,1,28,-0.02063154782865772
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top64,depth,38,11,1,26,-0.019467458747923612
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,score_synth_tperrz30,38,12,1,25,-0.0005280044796037034
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,score,38,12,1,25,-0.011060577175093442
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,score_rz1,38,12,1,25,-0.0036512908195526035
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,rz_total,38,6,3,29,-0.004403374873138514
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,CNOT,38,10,1,27,-0.011065241912227028
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top128,depth,38,11,1,26,-0.009739964375699456
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,score_synth_tperrz30,38,13,0,25,-0.0005513444913242233
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,score,38,13,0,25,-0.014008912061137666
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,score_rz1,38,13,0,25,-0.004279247952367102
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,rz_total,38,8,1,29,-0.009497911301547248
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,CNOT,38,10,2,26,-0.009886969909733947
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top256,depth,38,11,2,25,-0.00984418805917091
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,score_synth_tperrz30,38,8,0,30,-4.745325154131242e-05
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,score,38,8,0,30,-0.003752229165459687
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,score_rz1,38,8,0,30,-0.0010592680687008015
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,rz_total,38,4,2,32,-0.0005060728744939271
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,CNOT,38,5,1,32,-0.0008451376710791164
test_n6,phase_parity_affine_policy_tperrz30_top512,phase_affine_random_top512,depth,38,7,1,30,-0.0007809103371574149
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,12,6,20,-0.02339926610872741
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,score,38,11,7,20,-0.019836367804014734
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,score_rz1,38,11,7,20,-0.023229158847973438
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,0,35,-0.013674812030075187
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,rz_total,38,14,2,22,-0.036356945605126215
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,CNOT,38,10,7,21,-0.0017998065185951164
test_n6,phase_affine_random_top64,phase_affine_budget32_tperrz30,depth,38,13,5,20,-0.010369693172195917
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,16,22,0.0019302011302931067
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,score,38,0,16,22,0.055312863705356145
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,score_rz1,38,0,16,22,0.016492229785636258
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,rz_total,38,0,13,25,0.0186427909191019
test_n6,phase_affine_random_top64,phase_affine_wide128_tperrz30,CNOT,38,1,9,28,0.02972370105311254
