name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n5_58,True,0.6,0.5095784664154053,stop_after_resource,0.45243024826049805,3.161998987197876,0.45243024826049805,44.945,44.945,44.945,36.0,36.0,36.0,82.0,82.0,82.0,85.0,85.0,85.0,39.0,39.0,39.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_59,True,0.6,0.6256518959999084,run_pareto,0.6740658283233643,4.862820863723755,5.536886692047119,62.57,62.4,62.4,52.0,52.0,52.0,108.0,104.0,104.0,114.0,112.0,112.0,54.0,56.0,56.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_6,True,0.6,0.5973057150840759,stop_after_resource,0.37131714820861816,2.6314170360565186,0.37131714820861816,44.74999999999999,44.74999999999999,44.74999999999999,36.0,36.0,36.0,78.0,78.0,78.0,82.0,82.0,82.0,40.0,40.0,40.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_60,True,0.6,0.583290159702301,stop_after_resource,0.5455873012542725,3.7845218181610107,0.5455873012542725,53.855,53.855,53.855,44.0,44.0,44.0,95.0,95.0,95.0,103.0,103.0,103.0,51.0,51.0,51.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_61,True,0.6,0.5319547057151794,stop_after_resource,0.5211391448974609,3.8342511653900146,0.5211391448974609,49.629999999999995,49.629999999999995,49.629999999999995,40.0,40.0,40.0,94.0,94.0,94.0,94.0,94.0,94.0,46.0,46.0,46.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_62,True,0.6,0.5075610280036926,stop_after_resource,0.4283590316772461,3.0638129711151123,0.4283590316772461,49.36000000000001,49.36000000000001,49.36000000000001,40.0,40.0,40.0,88.0,88.0,88.0,92.0,92.0,92.0,46.0,46.0,46.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_63,True,0.6,0.9416834115982056,run_pareto,0.5197200775146484,3.5817880630493164,4.101508140563965,57.89,57.739999999999995,57.739999999999995,48.0,48.0,48.0,97.0,94.0,94.0,102.0,100.0,100.0,48.0,48.0,48.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_7,True,0.6,0.5275413990020752,stop_after_resource,0.3874490261077881,2.612940788269043,0.3874490261077881,49.32,46.93,49.32,40.0,36.0,40.0,87.0,77.0,87.0,92.0,90.0,92.0,46.0,50.0,46.0,2.0,3.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_8,True,0.6,0.5843574404716492,stop_after_resource,0.38498926162719727,2.7910802364349365,0.38498926162719727,45.455,45.455,45.455,36.0,36.0,36.0,88.0,88.0,88.0,95.0,95.0,95.0,51.0,51.0,51.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_9,True,0.6,0.5760175585746765,stop_after_resource,0.6001489162445068,4.375553846359253,0.6001489162445068,58.379999999999995,58.379999999999995,58.379999999999995,48.0,48.0,48.0,103.0,103.0,103.0,112.0,112.0,112.0,58.0,58.0,58.0,2.0,2.0,2.0
