name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0007_shallow,20,shallow,39,screen_depth4,384.7,344,556,556,212,4,0.006096666998928413,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_single,384.7,344,556,556,212,4,0.0031967920003808104,True,3,0,True,40,39,0
terms_n20_0008_mixed,20,mixed,162,adaptive_all_depth,1398.635,1268,2051,2051,783,5,8.075369833008153,True,11,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,depth2_guard_direct,1489.985,1352,2177,2177,825,5,0.4837475419990369,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,depth_frontier_policy,1398.635,1268,2051,2051,783,5,5.595047542003158,True,11,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,depth_policy,1489.985,1352,2177,2177,825,5,0.4837475419990369,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,direct_logical_and,1749.83,1592,2550,2550,958,4,7.080016075633466e-07,True,1,0,True,162,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth1,1564.195,1420,2283,2283,863,5,0.1023505409975769,True,5,0,True,153,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth2,1489.985,1352,2177,2177,825,5,0.4837475419990369,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth3,1415.97,1284,2074,2074,790,5,1.8790582080036984,True,9,0,True,148,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth4,1398.635,1268,2051,2051,783,5,5.595047542003158,True,11,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,screen_single,1642.7549999999999,1492,2395,2395,903,5,0.015166000004683156,True,3,0,True,157,162,0
terms_n20_0009_deep,20,deep,183,adaptive_all_depth,1976.3049999999998,1792,2865,2865,1073,8,10.335027585002535,True,11,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,depth2_guard_direct,2089.4049999999997,1896,3021,3021,1125,8,0.5900041249988135,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,depth_frontier_policy,1976.3049999999998,1792,2865,2865,1073,8,7.249699792002502,True,11,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,depth_policy,2089.4049999999997,1896,3021,3021,1125,8,0.5900041249988135,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,direct_logical_and,2353.145,2140,3393,3393,1253,7,7.499984349124134e-07,True,1,0,True,183,183,0
terms_n20_0009_deep,20,deep,183,screen_depth1,2161.42,1964,3124,3124,1160,7,0.1368216670016409,True,5,0,True,178,183,0
terms_n20_0009_deep,20,deep,183,screen_depth2,2089.4049999999997,1896,3021,3021,1125,8,0.5900041249988135,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,screen_depth3,2037.205,1848,2949,2949,1101,8,2.340890291998221,True,9,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,screen_depth4,1976.3049999999998,1792,2865,2865,1073,8,7.249699792002502,True,11,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,screen_single,2235.435,2032,3227,3227,1195,7,0.017611709001357667,True,3,0,True,179,183,0
terms_n20_0010_shallow,20,shallow,66,adaptive_all_depth,532.0699999999999,476,782,782,306,5,0.17915145800361643,True,7,0,True,68,66,0
