threshold,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
0.14869777113199234,144,98,92,6,2,0/2/142,0.00013128983529214378,-0.16830493994830611,92/0/52,-0.026784322443734947,7.291417494621057
0.14907222986221313,144,98,92,6,2,0/2/142,0.00013128983529214378,-0.16830493994830611,92/0/52,-0.026784322443734947,7.291417494621057
0.16214824467897415,144,97,92,5,2,0/2/142,0.00013128983529214378,-0.17175352643803687,92/0/52,-0.026784322443734947,7.284566953895424
0.17522425949573517,144,97,92,5,2,0/2/142,0.00013128983529214378,-0.17175352643803687,92/0/52,-0.026784322443734947,7.284566953895424
0.2297726348042488,144,96,91,5,3,0/3/141,0.00019498697356598398,-0.17729118333877533,91/0/53,-0.026721204250018147,7.257230949342621
0.25,144,96,91,5,3,0/3/141,0.00019498697356598398,-0.17729118333877533,91/0/53,-0.026721204250018147,7.257230949342621
0.28432101011276245,144,96,91,5,3,0/3/141,0.00019498697356598398,-0.17729118333877533,91/0/53,-0.026721204250018147,7.257230949342621
0.2934355139732361,144,95,90,5,4,0/4/140,0.00033378376979386823,-0.1833052117997552,90/0/54,-0.026585127190417685,7.212343407343326
0.3025500178337097,144,95,90,5,4,0/4/140,0.00033378376979386823,-0.1833052117997552,90/0/54,-0.026585127190417685,7.212343407343326
0.33918599784374237,144,94,90,4,4,0/4/140,0.00033378376979386823,-0.1879330277104791,90/0/54,-0.026585127190417685,7.198470829144729
0.375821977853775,144,94,90,4,4,0/4/140,0.00033378376979386823,-0.1879330277104791,90/0/54,-0.026585127190417685,7.198470829144729
0.5,144,93,90,3,4,0/4/140,0.00033378376979386823,-0.19202666103597746,90/0/54,-0.026585127190417685,7.1884989271074735
0.6178451925516129,144,93,90,3,4,0/4/140,0.00033378376979386823,-0.19202666103597746,90/0/54,-0.026585127190417685,7.1884989271074735
0.75,144,93,90,3,4,0/4/140,0.00033378376979386823,-0.19202666103597746,90/0/54,-0.026585127190417685,7.1884989271074735
0.8598684072494507,144,93,90,3,4,0/4/140,0.00033378376979386823,-0.19202666103597746,90/0/54,-0.026585127190417685,7.1884989271074735
0.875196784734726,144,92,89,3,5,0/5/139,0.0004315085276143581,-0.19831816792371748,89/0/55,-0.026488758567051903,7.121584381290454
0.8905251622200012,144,92,89,3,5,0/5/139,0.0004315085276143581,-0.19831816792371748,89/0/55,-0.026488758567051903,7.121584381290454
