CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
102,48,20,True,109,1,53,and_resource_no_mcts,5,7,truth_n5_22,2,58.245,,14,0.18318486213684082,54CE7017
100,44,18,True,106,1,54,and_pareto_resource_nmcts,5,7,truth_n5_14,2,54.13,,11,6.225756883621216,1816DA59
90,44,15,True,96,1,46,and_resource_nmcts,5,7,truth_n5_21,2,53.5,,11,1.0892469882965088,B9307855
77,36,14,True,84,1,42,and_resource_no_mcts,5,7,truth_n5_23,2,44.76,,11,0.0987710952758789,5486D496
102,48,20,True,109,1,53,and_resource_nmcts,5,7,truth_n5_22,2,58.245,,14,0.9430980682373047,54CE7017
78,36,15,True,84,1,44,and_pareto_resource_nmcts,5,7,truth_n5_15,3,46.81999999999999,,14,6.1377339363098145,D8448135
77,36,14,True,84,1,42,and_resource_nmcts,5,7,truth_n5_23,2,44.76,,11,0.6703019142150879,5486D496
86,40,23,True,97,1,51,and_resource_no_mcts,5,7,truth_n5_24,2,49.404999999999994,,14,0.1660289764404297,87656D8E
86,40,23,True,97,1,51,and_resource_nmcts,5,7,truth_n5_24,2,49.404999999999994,,14,0.8876960277557373,87656D8E
85,40,19,True,96,1,50,and_resource_no_mcts,5,7,truth_n5_25,2,49.339999999999996,,14,0.10167407989501953,AA032032
85,40,19,True,96,1,50,and_resource_nmcts,5,7,truth_n5_25,2,49.339999999999996,,14,0.9855496883392334,AA032032
77,36,19,True,85,1,43,and_pareto_resource_nmcts,5,7,truth_n5_16,2,44.785,,12,8.12155795097351,9F6C6415
62,28,17,True,69,1,39,and_resource_no_mcts,5,7,truth_n5_26,2,35.905,,9,0.16712498664855957,B37EE754
61,28,17,True,70,1,40,and_resource_nmcts,5,7,truth_n5_26,2,35.89,,8,0.32509732246398926,B37EE754
100,48,16,True,107,1,51,and_pareto_resource_nmcts,5,7,truth_n5_17,2,58.114999999999995,,12,7.9222071170806885,75198C34
94,44,18,True,103,1,53,and_resource_no_mcts,5,7,truth_n5_27,2,53.835,,10,0.140794038772583,70547E0B
85,44,15,True,88,1,40,and_pareto_resource_nmcts,5,7,truth_n5_19,2,53.12,,10,7.135080337524414,A5AB4237
77,36,14,True,84,1,42,and_pareto_resource_nmcts,5,7,truth_n5_23,2,44.76,,11,5.005216121673584,5486D496
76,36,16,True,79,1,37,and_resource_no_mcts,5,7,truth_n5_28,2,44.595,,10,0.057562828063964844,2AB49AE1
90,44,17,True,93,1,45,and_pareto_resource_nmcts,5,7,truth_n5_20,2,53.44500000000001,,14,7.296284914016724,E61F2DA4
92,40,18,True,101,1,53,and_resource_nmcts,5,7,truth_n5_27,2,49.725,,10,0.9334447383880615,70547E0B
86,44,15,True,94,1,46,and_pareto_resource_nmcts,5,7,truth_n5_21,2,53.309999999999995,,11,6.920238018035889,B9307855
80,40,20,True,86,1,40,and_resource_no_mcts,5,7,truth_n5_29,2,48.89,,7,0.1701498031616211,2057B0DE
76,36,16,True,79,1,37,and_resource_nmcts,5,7,truth_n5_28,2,44.595,,10,0.8262252807617188,2AB49AE1
80,40,13,True,82,1,38,and_resource_no_mcts,5,7,truth_n5_30,2,48.81,,11,0.07707715034484863,D92E1A26
105,44,19,True,116,1,62,and_pareto_resource_nmcts,5,7,truth_n5_18,2,54.56,,13,8.751553058624268,C9715E97
76,32,20,True,80,1,42,and_resource_nmcts,5,7,truth_n5_29,2,40.660000000000004,,9,0.8975200653076172,2057B0DE
55,28,8,True,56,1,26,and_resource_no_mcts,5,7,truth_n5_31,2,35.3,,8,0.05637097358703613,1484CF3F
96,48,20,True,105,1,51,and_pareto_resource_nmcts,5,7,truth_n5_22,2,57.925000000000004,,13,7.38736891746521,54CE7017
80,40,13,True,82,1,38,and_resource_nmcts,5,7,truth_n5_30,2,48.81,,11,0.9646520614624023,D92E1A26
55,28,8,True,56,1,26,and_resource_nmcts,5,7,truth_n5_31,2,35.3,,8,0.5399458408355713,1484CF3F
71,32,17,True,80,1,42,and_resource_no_mcts,5,7,truth_n5_32,2,40.46000000000001,,10,0.08973479270935059,C7E6C971
78,36,23,True,86,1,44,and_pareto_resource_nmcts,5,7,truth_n5_24,2,44.849999999999994,,11,6.76952600479126,87656D8E
66,32,12,True,72,1,36,and_resource_no_mcts,5,7,truth_n5_33,2,40.08,,10,0.06721711158752441,51CD827D
71,32,17,True,80,1,42,and_resource_nmcts,5,7,truth_n5_32,2,40.46000000000001,,10,0.7988920211791992,C7E6C971
61,28,17,True,70,1,40,and_pareto_resource_nmcts,5,7,truth_n5_26,2,35.89,,8,3.781620979309082,B37EE754
66,32,12,True,72,1,36,and_resource_nmcts,5,7,truth_n5_33,2,40.08,,10,0.6506240367889404,51CD827D
96,48,24,True,103,1,49,and_resource_no_mcts,5,7,truth_n5_34,3,59.87500000000001,,12,0.18763422966003418,CD32C52
75,36,19,True,81,1,39,and_pareto_resource_nmcts,5,7,truth_n5_25,2,44.605000000000004,,8,5.797021150588989,AA032032
101,44,17,True,109,1,57,and_resource_no_mcts,5,7,truth_n5_35,2,54.245,,12,0.1769118309020996,E05ADC18
101,44,17,True,109,1,57,and_resource_nmcts,5,7,truth_n5_35,2,54.245,,12,0.8634541034698486,E05ADC18
96,48,24,True,103,1,49,and_resource_nmcts,5,7,truth_n5_34,3,59.87500000000001,,12,1.5654349327087402,CD32C52
50,24,11,True,56,1,28,and_resource_no_mcts,5,7,truth_n5_36,2,31.12,,7,0.06617069244384766,97668966
50,24,11,True,56,1,28,and_resource_nmcts,5,7,truth_n5_36,2,31.12,,7,0.6040539741516113,97668966
55,28,8,True,56,1,26,and_pareto_resource_nmcts,5,7,truth_n5_31,2,35.3,,8,3.5851268768310547,1484CF3F
68,32,14,True,68,1,32,and_resource_no_mcts,5,7,truth_n5_37,1,38.06,,10,0.06750321388244629,44A3F944
68,32,14,True,68,1,32,and_resource_nmcts,5,7,truth_n5_37,1,38.06,,10,0.5638382434844971,44A3F944
76,36,16,True,79,1,37,and_pareto_resource_nmcts,5,7,truth_n5_28,2,44.595,,10,5.748749017715454,2AB49AE1
75,32,12,True,76,1,38,and_resource_no_mcts,5,7,truth_n5_38,2,40.52,,9,0.043051958084106445,5E38A9FF
92,40,18,True,101,1,53,and_pareto_resource_nmcts,5,7,truth_n5_27,2,49.725,,10,6.7088072299957275,70547E0B
75,32,12,True,76,1,38,and_resource_nmcts,5,7,truth_n5_38,2,40.52,,9,0.5146691799163818,5E38A9FF
81,40,17,True,84,1,40,and_resource_no_mcts,5,7,truth_n5_39,2,48.9,,15,0.11815905570983887,BA711A18
71,32,17,True,80,1,42,and_pareto_resource_nmcts,5,7,truth_n5_32,2,40.46000000000001,,10,4.653231143951416,C7E6C971
76,32,20,True,80,1,42,and_pareto_resource_nmcts,5,7,truth_n5_29,2,40.660000000000004,,9,6.559509038925171,2057B0DE
88,44,16,True,93,1,45,and_resource_no_mcts,5,7,truth_n5_40,3,55.36500000000001,,13,0.1358170509338379,2F9E383B
78,36,13,True,83,1,43,and_pareto_resource_nmcts,5,7,truth_n5_30,2,44.794999999999995,,15,6.1180689334869385,D92E1A26
81,40,17,True,84,1,40,and_resource_nmcts,5,7,truth_n5_39,2,48.9,,15,0.7637114524841309,BA711A18
56,28,12,True,62,1,34,and_pareto_resource_nmcts,5,7,truth_n5_33,3,37.510000000000005,,10,4.601577043533325,51CD827D
109,48,19,True,112,2,56,and_resource_no_mcts,5,8,truth_n5_41,3,60.6,,14,0.18158912658691406,AC0072C7
94,44,16,True,96,1,44,and_resource_nmcts,5,7,truth_n5_40,2,53.63999999999999,,11,1.061335802078247,2F9E383B
100,44,19,True,104,1,52,and_resource_nmcts,5,7,truth_n5_41,2,54.080000000000005,,11,1.027616024017334,AC0072C7
107,48,19,True,114,2,58,and_resource_no_mcts,5,8,truth_n5_42,3,60.57,,12,0.17265582084655762,9ABF39B8
50,24,11,True,56,1,28,and_pareto_resource_nmcts,5,7,truth_n5_36,2,31.12,,7,3.602200746536255,97668966
68,36,22,True,76,1,38,and_resource_no_mcts,5,7,truth_n5_43,3,46.24,,9,0.08236384391784668,120287D6
99,44,19,True,108,1,56,and_resource_nmcts,5,7,truth_n5_42,2,54.14,,11,1.0458989143371582,9ABF39B8
68,32,14,True,68,1,32,and_pareto_resource_nmcts,5,7,truth_n5_37,1,38.06,,10,3.605875253677368,44A3F944
75,36,15,True,81,1,41,and_resource_no_mcts,5,7,truth_n5_44,2,44.625,,12,0.06467580795288086,F81BD0EE
75,32,12,True,76,1,38,and_pareto_resource_nmcts,5,7,truth_n5_38,2,40.52,,9,3.5253889560699463,5E38A9FF
68,36,22,True,76,1,38,and_resource_nmcts,5,7,truth_n5_43,3,46.24,,9,1.0994620323181152,120287D6
90,44,15,True,92,1,42,and_resource_no_mcts,5,7,truth_n5_45,3,55.400000000000006,,12,0.1222991943359375,FE4C06D4
75,36,15,True,81,1,41,and_resource_nmcts,5,7,truth_n5_44,2,44.625,,12,0.777899980545044,F81BD0EE
90,44,15,True,92,1,42,and_resource_nmcts,5,7,truth_n5_45,3,55.400000000000006,,12,1.0109131336212158,FE4C06D4
101,44,17,True,109,1,57,and_pareto_resource_nmcts,5,7,truth_n5_35,2,54.245,,12,6.944253921508789,E05ADC18
71,36,15,True,76,1,38,and_resource_no_mcts,5,7,truth_n5_46,2,44.36000000000001,,13,0.036228179931640625,8D4DE4F9
71,36,15,True,76,1,38,and_resource_nmcts,5,7,truth_n5_46,2,44.36000000000001,,13,0.5609023571014404,8D4DE4F9
50,24,11,True,51,1,25,and_resource_no_mcts,5,7,truth_n5_47,2,31.015,,9,0.02525472640991211,A9A3D623
69,36,17,True,75,1,39,and_pareto_resource_nmcts,5,7,truth_n5_39,3,46.275,,13,5.404051065444946,BA711A18
50,24,11,True,51,1,25,and_resource_nmcts,5,7,truth_n5_47,2,31.015,,9,0.35515809059143066,A9A3D623
79,40,16,True,80,1,36,and_resource_no_mcts,5,7,truth_n5_48,2,48.72,,10,0.11919426918029785,1D0159FD
79,36,16,True,85,1,41,and_resource_nmcts,5,7,truth_n5_48,2,44.84499999999999,,8,0.7572159767150879,1D0159FD
90,44,24,True,99,2,49,and_pareto_resource_nmcts,5,8,truth_n5_34,3,55.575,,12,10.357836961746216,CD32C52
78,40,16,True,82,1,38,and_resource_no_mcts,5,7,truth_n5_49,2,48.73,,10,0.09725475311279297,4C0897CE
81,40,16,True,83,1,41,and_pareto_resource_nmcts,5,7,truth_n5_40,3,50.894999999999996,,13,6.365563154220581,2F9E383B
50,24,11,True,51,1,25,and_pareto_resource_nmcts,5,7,truth_n5_47,2,31.015,,9,2.1741669178009033,A9A3D623
78,40,16,True,82,1,38,and_resource_nmcts,5,7,truth_n5_49,2,48.73,,10,0.7705662250518799,4C0897CE
111,56,18,True,115,1,53,and_resource_no_mcts,5,7,truth_n5_50,2,66.695,,15,0.15781784057617188,7EB39BC1
100,44,19,True,104,1,52,and_pareto_resource_nmcts,5,7,truth_n5_41,2,54.080000000000005,,11,7.145960330963135,AC0072C7
