name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n48_0013_mixed,48,mixed,108,adaptive_all_depth,1034.595,936,1507,1507,571,5,101,1046,452,1,29,7.040286167000886,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,depth2_guard_direct,1034.595,936,1507,1507,571,5,101,1046,452,1,29,1.200866250001127,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,depth_frontier_policy,1034.595,936,1507,1507,571,5,101,1046,452,1,29,1.200866250001127,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,depth_policy,1034.595,936,1507,1507,571,5,101,1046,452,1,29,1.200866250001127,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,direct_logical_and,1241.72,1128,1800,1800,672,4,108,1250,546,0,0,1.2909877113997936e-06,True,1,0,True,108,108,0
terms_n48_0013_mixed,48,mixed,108,screen_depth1,1038.75,940,1510,1510,570,5,98,1048,453,1,24,0.3835245830123313,True,5,0,True,100,108,0
terms_n48_0013_mixed,48,mixed,108,screen_depth2,1034.595,936,1507,1507,571,5,101,1046,452,1,29,1.200866250001127,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,screen_depth3,1034.595,936,1507,1507,571,5,101,1046,452,1,29,2.3839079169847537,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,screen_depth4,1034.595,936,1507,1507,571,5,101,1046,452,1,29,3.007495875004679,True,7,0,True,103,108,0
terms_n48_0013_mixed,48,mixed,108,screen_single,1121.5949999999998,1016,1627,1627,611,5,101,1118,490,1,13,0.06449154199799523,True,3,0,True,103,108,0
terms_n48_0014_deep,48,deep,139,adaptive_all_depth,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,7.600511081982404,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,depth2_guard_direct,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,1.2182891250122339,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,depth_frontier_policy,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,1.2182891250122339,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,depth_policy,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,1.2182891250122339,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,direct_logical_and,1593.385,1444,2305,2305,861,7,139,1627,694,0,0,1.0830117389559746e-06,True,1,0,True,139,139,0
terms_n48_0014_deep,48,deep,139,screen_depth1,1410.23,1276,2046,2046,770,7,130,1443,613,1,23,0.40705583299859427,True,5,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,screen_depth2,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,1.2182891250122339,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,screen_depth3,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,2.4428406249789987,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,screen_depth4,1353.68,1224,1968,1968,744,7,130,1391,588,1,31,3.452784082997823,True,7,0,True,132,139,0
terms_n48_0014_deep,48,deep,139,screen_single,1479.96,1340,2144,2144,804,7,132,1515,643,1,13,0.07954141599475406,True,3,0,True,134,139,0
terms_n48_0015_shallow,48,shallow,50,adaptive_all_depth,334.955,296,491,491,195,5,45,387,135,1,19,0.49445337598444894,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,depth2_guard_direct,334.955,296,491,491,195,5,45,387,135,1,19,0.1251544160186313,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,depth_frontier_policy,334.955,296,491,491,195,5,45,387,135,1,19,0.1251544160186313,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,depth_policy,334.955,296,491,491,195,5,45,387,135,1,19,0.1251544160186313,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,direct_logical_and,498.45,448,722,722,274,4,50,519,209,0,0,9.580107871443033e-07,True,1,0,True,50,50,0
terms_n48_0015_shallow,48,shallow,50,screen_depth1,334.955,296,491,491,195,5,45,387,135,1,19,0.07699270898592658,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,screen_depth2,334.955,296,491,491,195,5,45,387,135,1,19,0.1251544160186313,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,screen_depth3,334.955,296,491,491,195,5,45,387,135,1,19,0.13692270900355652,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,screen_depth4,334.955,296,491,491,195,5,45,387,135,1,19,0.12791724997805431,True,5,0,True,47,50,0
terms_n48_0015_shallow,48,shallow,50,screen_single,374.04,332,544,544,212,5,44,417,152,1,12,0.027466291998280212,True,3,0,True,46,50,0
terms_n56_0000_deep,56,deep,253,adaptive_all_depth,2535.2000000000003,2304,3696,3696,1392,7,238,2663,1100,1,53,138.00901437501307,True,11,0,True,240,253,0
terms_n56_0000_deep,56,deep,253,depth2_guard_direct,2665.895,2424,3879,3879,1455,7,241,2781,1157,1,34,7.69113262501196,True,7,0,True,243,253,0
terms_n56_0000_deep,56,deep,253,depth_frontier_policy,2535.2000000000003,2304,3696,3696,1392,7,238,2663,1100,1,53,97.29157649999252,True,11,0,True,240,253,0
