dataset,index,name,preset_name,n,anf_terms,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,source_blif_correct,verilog_correct,time_s,abc_time_s,cirkit_time_s,verify_time_s,aig_gates,aig_level,mc_size,mc_depth,cirkit_commit,abc_binary,cirkit_binary,source_manifest,skipped,error,aig_inputs,aig_outputs
highdim,44,anf_n14_44,anf_n14_44,14,160,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41280,61921,349,20641,10320,10320,10335,64608.485,True,True,True,4.402183294296265,0.05595088005065918,4.126086950302124,0.12397599220275879,10320,58,10320,58,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,45,anf_n14_45,anf_n14_45,14,77,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",16368,24553,169,8185,4092,4092,4107,25618.504999999997,True,True,True,2.666231870651245,0.04588627815246582,2.429388999938965,0.09316873550415039,4092,28,4092,28,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,46,anf_n14_46,anf_n14_46,14,300,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",35512,53269,247,17757,8878,8878,8893,55580.035,True,True,True,3.441030979156494,0.04882001876831055,3.180814743041992,0.1157679557800293,8878,41,8878,41,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,47,anf_n14_47,anf_n14_47,14,46,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",23048,34573,211,11525,5762,5762,5777,36073.335,True,True,True,2.4043729305267334,0.04913187026977539,2.155777931213379,0.10109496116638184,5762,35,5762,35,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,48,anf_n14_48,anf_n14_48,14,691,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40512,60769,361,20257,10128,10128,10143,63406.745,True,True,True,4.337296009063721,0.0543980598449707,4.063855171203613,0.12333297729492188,10128,60,10128,60,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,49,anf_n14_49,anf_n14_49,14,60,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",28332,42499,205,14167,7083,7083,7098,44342.705,True,True,True,3.111269950866699,0.04918670654296875,2.8561270236968994,0.10944271087646484,7083,34,7083,34,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,5,anf_n14_5,anf_n14_5,14,506,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41156,61735,313,20579,10289,10289,10304,64413.885,True,True,True,4.168239116668701,0.0534970760345459,3.8973021507263184,0.12034010887145996,10289,52,10289,52,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,50,anf_n14_50,anf_n14_50,14,506,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41064,61597,319,20533,10266,10266,10281,64269.995,True,True,True,4.257609128952026,0.05673813819885254,3.9816510677337646,0.1228339672088623,10266,53,10266,53,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,51,anf_n14_51,anf_n14_51,14,201,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",38200,57301,301,19101,9550,9550,9565,59787.565,True,True,True,3.87319278717041,0.05363297462463379,3.604935884475708,0.11825418472290039,9550,50,9550,50,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,52,anf_n14_52,anf_n14_52,14,241,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",38080,57121,259,19041,9520,9520,9535,59599.135,True,True,True,3.795746088027954,0.049906253814697266,3.530817985534668,0.11966586112976074,9520,43,9520,43,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,53,anf_n14_53,anf_n14_53,14,174,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36432,54649,259,18217,9108,9108,9123,57020.015,True,True,True,3.604729175567627,0.049386024475097656,3.3454689979553223,0.11565327644348145,9108,43,9108,43,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,54,anf_n14_54,anf_n14_54,14,13,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",1004,1507,103,503,251,251,266,1572.855,True,True,True,0.389646053314209,0.03923606872558594,0.17906785011291504,0.07681703567504883,251,17,251,17,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,55,anf_n14_55,anf_n14_55,14,766,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",42184,63277,343,21093,10546,10546,10561,66023.155,True,True,True,4.484666109085083,0.05440711975097656,4.212951898574829,0.12151408195495605,10546,57,10546,57,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
