name,n,family,degree,degree_bucket,anf_terms,anf_bucket,onset_density,density_bucket,truth_table_hex,target_method,target_score,target_T,target_CNOT,direct_anf_score,direct_anf_score_delta_pct,esop_milp_score,esop_milp_score_delta_pct,sshr_h_score,sshr_h_score_delta_pct,abc_xag_score,abc_xag_score_delta_pct,caterpillar_api_score,caterpillar_api_score_delta_pct
truth_n4_39,4,random truth-table,4,degree >=4,11,ANF > 2n,0.312500,onset balanced,C241,and_pareto_resource_nmcts,22.235000,16.000000,36.000000,60.985000,-63.540215,35.025000,-36.516774,35.910000,-38.081314,35.925000,-38.107168,37.315000,-40.412703
truth_n4_4,4,random truth-table,3,degree 3,8,ANF n..2n,0.375000,onset balanced,4668,and_pareto_resource_nmcts,20.455000,16.000000,39.000000,74.040000,-72.373042,28.675000,-28.666085,28.260000,-27.618542,54.795000,-62.669952,55.150000,-62.910245
truth_n4_40,4,random truth-table,3,degree 3,7,ANF n..2n,0.500000,onset balanced,CE4A,and_pareto_resource_nmcts,20.385000,16.000000,39.000000,65.425000,-68.842186,28.510000,-28.498772,23.855000,-14.546217,46.435000,-56.099925,42.980000,-52.570963
truth_n4_41,4,random truth-table,4,degree >=4,6,ANF n..2n,0.562500,onset balanced,28DF,and_pareto_resource_nmcts,17.665000,12.000000,27.000000,64.550000,-72.633617,26.135000,-32.408647,31.245000,-43.462954,42.275000,-58.214075,48.810000,-63.808646
truth_n4_42,4,random truth-table,4,degree >=4,11,ANF > 2n,0.562500,onset balanced,B2B9,and_pareto_resource_nmcts,22.570000,16.000000,40.000000,90.140000,-74.961172,30.650000,-26.362153,35.965000,-37.244543,59.045000,-61.774917,55.435000,-59.285650
truth_n4_43,4,random truth-table,3,degree 3,6,ANF n..2n,0.375000,onset balanced,6C30,and_pareto_resource_nmcts,19.840000,16.000000,30.000000,48.645000,-59.214719,19.810000,+0.151439,28.150000,-29.520426,52.695000,-62.349369,30.825000,-35.636659
truth_n4_44,4,random truth-table,3,degree 3,10,ANF > 2n,0.500000,onset balanced,571A,and_pareto_resource_nmcts,15.735000,12.000000,27.000000,82.335000,-80.889051,35.025000,-55.074946,23.985000,-34.396498,65.215000,-75.872115,49.330000,-68.102574
truth_n4_45,4,random truth-table,3,degree 3,6,ANF n..2n,0.375000,onset balanced,4722,and_pareto_resource_nmcts,15.635000,12.000000,27.000000,31.930000,-51.033511,19.745000,-20.815396,27.890000,-43.940480,50.505000,-69.042669,24.775000,-36.892028
truth_n4_46,4,random truth-table,4,degree >=4,10,ANF > 2n,0.562500,onset balanced,27CD,and_pareto_resource_nmcts,22.285000,16.000000,36.000000,77.635000,-71.295163,30.560000,-27.077880,48.485000,-54.037331,61.145000,-63.553847,49.255000,-54.755862
truth_n4_47,4,random truth-table,4,degree >=4,10,ANF > 2n,0.562500,onset balanced,371E,and_pareto_resource_nmcts,22.520000,16.000000,40.000000,60.960000,-63.057743,30.675000,-26.585167,35.945000,-37.348727,96.605000,-76.688577,37.335000,-39.681264
truth_n4_48,4,random truth-table,4,degree >=4,13,ANF > 2n,0.562500,onset balanced,F50B,and_pareto_resource_nmcts,17.775000,12.000000,26.000000,115.535000,-84.615052,21.845000,-18.631266,31.445000,-43.472730,46.435000,-61.720685,61.685000,-71.184243
truth_n4_49,4,random truth-table,3,degree 3,7,ANF n..2n,0.500000,onset balanced,C374,and_pareto_resource_nmcts,11.230000,8.000000,19.000000,44.435000,-74.727130,19.825000,-43.354351,32.640000,-65.594363,46.435000,-75.815656,36.960000,-69.615801
truth_n4_5,4,random truth-table,4,degree >=4,8,ANF n..2n,0.562500,onset balanced,3EB1,and_pareto_resource_nmcts,22.210000,16.000000,36.000000,39.800000,-44.195980,30.510000,-27.204195,35.945000,-38.211156,77.825000,-71.461613,24.900000,-10.803213
truth_n4_50,4,random truth-table,3,degree 3,10,ANF > 2n,0.500000,onset balanced,562B,and_pareto_resource_nmcts,15.615000,12.000000,24.000000,53.140000,-70.615356,24.325000,-35.806783,23.645000,-33.960668,90.435000,-82.733455,49.270000,-68.307286
truth_n4_51,4,random truth-table,3,degree 3,4,ANF <= n,0.375000,onset balanced,1A2A,and_pareto_resource_nmcts,15.425000,12.000000,23.000000,39.965000,-61.403728,19.645000,-21.481293,27.820000,-44.554277,50.595000,-69.512798,24.515000,-37.079339
