dataset,name,n,budget,cap_fraction,peak_cap,feasible,method,selected_policy,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,checkpoint_nodes,expanded_compute_calls,keep_peak_ancilla,keep_score,peak_reduction_vs_keep_pct,score_change_vs_keep_pct,official_ros_fully_reproduced
n14,anf_n14_22,14,minline,0.0,55.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,34080691352.0,64218585157.0,65742297327.0,31661605975.0,1.0,55.0,16.0,37952185387.935,6196.0,9653.0,0.0,5493673158.0,6197.0,166862.635,99.11247377763434,22744467.942328725,False
n14,anf_n14_23,14,keep100,1.0,2999,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,68344.0,121915.0,123785.0,55441.0,2998.0,2999.0,3013.0,81629.785,2998.0,4410.0,2998.0,5996.0,2999.0,81629.785,0.0,0.0,False
n14,anf_n14_23,14,line75,0.75,2249,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,160208752.0,284174549.0,288491407.0,128282655.0,338.0,371.0,353.0,177186673.615,2998.0,4410.0,337.0,14205508.0,2999.0,81629.785,87.62920973657886,216961.3013558715,False
n14,anf_n14_23,14,line50,0.5,1499,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,160208752.0,284174549.0,288491407.0,128282655.0,338.0,371.0,353.0,177186673.615,2998.0,4410.0,337.0,14205508.0,2999.0,81629.785,87.62920973657886,216961.3013558715,False
n14,anf_n14_23,14,line25,0.25,749,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,160208752.0,284174549.0,288491407.0,128282655.0,338.0,371.0,353.0,177186673.615,2998.0,4410.0,337.0,14205508.0,2999.0,81629.785,87.62920973657886,216961.3013558715,False
n14,anf_n14_23,14,minline,0.0,37.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,312866624.0,588241323.0,602279529.0,289412905.0,1.0,37.0,16.0,348324672.905,2998.0,4410.0,0.0,49238486.0,2999.0,81629.785,98.76625541847282,426612.7163265221,False
n14,anf_n14_24,14,keep100,1.0,2372,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,53848.0,95025.0,96157.0,42309.0,2371.0,2372.0,2386.0,64258.445,2371.0,3440.0,2371.0,4742.0,2372.0,64258.445,0.0,0.0,False
n14,anf_n14_24,14,line75,0.75,1779,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,46458088.0,81450093.0,82463211.0,36005123.0,288.0,316.0,303.0,51313723.115,2371.0,3440.0,287.0,4134860.0,2372.0,64258.445,86.6779089376054,79755.22076514612,False
n14,anf_n14_24,14,line50,0.5,1186,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,46458088.0,81450093.0,82463211.0,36005123.0,288.0,316.0,303.0,51313723.115,2371.0,3440.0,287.0,4134860.0,2372.0,64258.445,86.6779089376054,79755.22076514612,False
n14,anf_n14_24,14,line25,0.25,593,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,46458088.0,81450093.0,82463211.0,36005123.0,288.0,316.0,303.0,51313723.115,2371.0,3440.0,287.0,4134860.0,2372.0,64258.445,86.6779089376054,79755.22076514612,False
n14,anf_n14_24,14,minline,0.0,30.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,94082544.0,174926175.0,178258657.0,84176113.0,1.0,30.0,16.0,104595291.985,2371.0,3440.0,0.0,14496126.0,2372.0,64258.445,98.73524451939292,162672.83395980092,False
n14,anf_n14_25,14,keep100,1.0,4,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,5,80.0,147.0,151.0,71.0,3.0,4.0,18.0,96.855,3.0,2.0,3.0,6.0,4.0,96.855,0.0,0.0,False
n14,anf_n14_25,14,minline,0.0,4.0,True,external_ros_lut_garbage_budget_minline,keep_all_bennett,5,80.0,147.0,151.0,71.0,3.0,4.0,18.0,96.855,3.0,2.0,3.0,6.0,4.0,96.855,0.0,0.0,False
n14,anf_n14_26,14,keep100,1.0,5,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,5,88.0,161.0,165.0,77.0,4.0,5.0,19.0,107.685,4.0,3.0,4.0,8.0,5.0,107.685,0.0,0.0,False
n14,anf_n14_26,14,minline,0.0,5.0,True,external_ros_lut_garbage_budget_minline,keep_all_bennett,5,88.0,161.0,165.0,77.0,4.0,5.0,19.0,107.685,4.0,3.0,4.0,8.0,5.0,107.685,0.0,0.0,False
n14,anf_n14_27,14,keep100,1.0,40,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,5,1392.0,2507.0,2541.0,1149.0,38.0,40.0,53.0,1621.885,38.0,43.0,38.0,76.0,40.0,1621.885,0.0,0.0,False
n14,anf_n14_27,14,line75,0.75,30,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,5,7552.0,14547.0,14865.0,7313.0,3.0,12.0,18.0,8453.985,38.0,43.0,2.0,626.0,40.0,1621.885,70.0,421.24441621939906,False
n14,anf_n14_27,14,line50,0.5,20,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,5,7552.0,14547.0,14865.0,7313.0,3.0,12.0,18.0,8453.985,38.0,43.0,2.0,626.0,40.0,1621.885,70.0,421.24441621939906,False
n14,anf_n14_27,14,line25,0.25,10,True,external_ros_lut_garbage_budget_line25,zero_checkpoint,5,11312.0,20939.0,21445.0,10133.0,1.0,10.0,16.0,12592.565,38.0,43.0,0.0,814.0,40.0,1621.885,75.0,676.4154055312183,False
n14,anf_n14_27,14,minline,0.0,10.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,5,11312.0,20939.0,21445.0,10133.0,1.0,10.0,16.0,12592.565,38.0,43.0,0.0,814.0,40.0,1621.885,75.0,676.4154055312183,False
