func_n,func_tt,teacher,objective,label_type,step,cand_idx,label,n,dim,size,log_size,cnot_cost,t_cost,objective_cost,control_count,is_singleton,support_bits,active_size,overlap,off_count,cover_ratio,off_ratio,monotone_valid,mono_removed,xor_next_size,mono_next_size,cost_per_overlap,cost_per_size,current_cost,opt_cost,teacher_time_s
5,150996304,xor_beam,t,step_choice,0,1513,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,32.0,32.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,609,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,599,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,612,0.0,5.0,2.0,4.0,2.0,20.0,16.0,16.0,3.0,0.0,5.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1249,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1517,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,32.0,32.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1130,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1148,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1232,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1199,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1534,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,32.0,32.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1289,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,699,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1151,0.0,5.0,1.0,2.0,1.0,18.0,24.0,24.0,4.0,0.0,5.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1292,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1511,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,32.0,32.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,771,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,764,0.0,5.0,2.0,4.0,2.0,14.0,16.0,16.0,3.0,0.0,2.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,1,1481,1.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,12.0,12.0,16.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,1,1531,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,32.0,32.0,16.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,1,1534,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,32.0,32.0,16.0,40.0,0.0092
5,134895950,xor_beam,t,step_choice,0,114,1.0,5.0,3.0,8.0,3.0,6.0,4.0,4.0,2.0,0.0,3.0,11.0,6.0,2.0,0.75,0.25,0.0,6.0,7.0,5.0,0.6666666666666666,0.5,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,1194,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,11.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,9.0,12.0,12.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,1521,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,10.0,32.0,32.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,388,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,11.0,3.0,1.0,0.75,0.25,0.0,3.0,9.0,8.0,5.333333333333333,4.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,1358,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,11.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,9.0,12.0,12.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,1086,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,11.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,9.0,12.0,12.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,942,0.0,5.0,2.0,4.0,2.0,14.0,16.0,16.0,3.0,0.0,2.0,11.0,3.0,1.0,0.75,0.25,0.0,3.0,9.0,8.0,5.333333333333333,4.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,1436,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,11.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,9.0,12.0,12.0,0.0,68.0,0.0965
5,134895950,xor_beam,t,step_choice,0,539,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,11.0,3.0,1.0,0.75,0.25,0.0,3.0,9.0,8.0,5.333333333333333,4.0,0.0,68.0,0.0965
