name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
truth_n4_50,4,phase_parity_anf,8,20,30,30,0,0,4,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,0.00010585784912109375,10,1,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,562B
truth_n4_51,4,phase_parity_anf,8,18,29,29,0,0,4,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,0.00010204315185546875,4,0,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,1A2A
truth_n4_52,4,phase_parity_anf,7,16,27,27,0,0,4,8.315,8.315,8.315,8.315,8.315,8.315,8.315,8.315,8.315,8.315,0.00010585784912109375,10,0,11,11,4,7,0,4,7,1,True,phase oracle verified up to global phase,,,17BE
truth_n4_53,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001518726348876953,10,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,6142
truth_n4_54,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00014281272888183594,8,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,18C2
truth_n4_55,4,phase_parity_anf,8,28,42,42,0,0,4,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,0.0001289844512939453,8,0,14,14,6,8,0,4,8,1,True,phase oracle verified up to global phase,,,5BE6
truth_n4_56,4,phase_parity_anf,7,14,24,24,0,0,4,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,9.417533874511719e-05,7,1,10,10,3,7,0,4,7,1,True,phase oracle verified up to global phase,,,D8F5
truth_n4_57,4,phase_parity_anf,7,12,21,21,0,0,4,8.005,8.005,8.005,8.005,8.005,8.005,8.005,8.005,8.005,8.005,8.797645568847656e-05,8,1,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,580D
truth_n4_58,4,phase_parity_anf,7,24,36,36,0,0,4,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,0.00010919570922851562,9,1,12,12,5,7,0,4,7,1,True,phase oracle verified up to global phase,,,9A8D
truth_n4_59,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00014400482177734375,8,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,43B7
truth_n4_6,4,phase_parity_anf,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00010800361633300781,8,0,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,3924
