CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex,variant
87,44,15,True,91,1,43,and_affine_nmcts,5,7,truth_n5_11,2,53.275,,11,2.688256025314331,E2ACF72F,learned_prior
87,44,15,True,91,1,43,and_resource_nmcts,5,7,truth_n5_11,2,53.275,,11,2.7167632579803467,E2ACF72F,learned_prior
61,28,12,True,65,1,35,and_affine_nmcts,5,7,truth_n5_13,2,35.765,,7,1.577483892440796,5C941CF0,learned_prior
61,28,12,True,65,1,35,and_resource_nmcts,5,7,truth_n5_13,2,35.765,,7,1.666524887084961,5C941CF0,learned_prior
88,40,19,True,94,1,48,and_affine_nmcts,5,7,truth_n5_12,2,49.41,,9,3.553086996078491,DC98D2C1,learned_prior
88,40,19,True,94,1,48,and_resource_nmcts,5,7,truth_n5_12,2,49.41,,9,3.6541759967803955,DC98D2C1,learned_prior
69,28,12,True,74,1,40,and_affine_nmcts,5,7,truth_n5_15,2,36.27,,9,3.228278160095215,3139D32C,learned_prior
99,48,13,True,106,1,54,and_affine_nmcts,5,7,truth_n5_14,2,58.089999999999996,,12,4.173029184341431,93CD59BF,learned_prior
69,28,12,True,74,1,40,and_resource_nmcts,5,7,truth_n5_15,2,36.27,,9,3.247016191482544,3139D32C,learned_prior
99,48,13,True,106,1,54,and_resource_nmcts,5,7,truth_n5_14,2,58.089999999999996,,12,4.227975845336914,93CD59BF,learned_prior
83,36,17,True,89,2,47,and_affine_nmcts,5,8,truth_n5_16,3,47.125,,9,3.4341938495635986,B45ED1F0,learned_prior
71,36,10,True,72,1,32,and_affine_nmcts,5,7,truth_n5_18,2,44.24,,10,1.8152551651000977,BBB2599,learned_prior
72,36,12,True,75,1,35,and_affine_nmcts,5,7,truth_n5_17,2,44.355000000000004,,9,3.1997010707855225,11CE5DD2,learned_prior
83,36,17,True,89,2,47,and_resource_nmcts,5,8,truth_n5_16,3,47.125,,9,3.5207161903381348,B45ED1F0,learned_prior
71,36,10,True,72,1,32,and_resource_nmcts,5,7,truth_n5_18,2,44.24,,10,1.8470211029052734,BBB2599,learned_prior
72,36,12,True,75,1,35,and_resource_nmcts,5,7,truth_n5_17,2,44.355000000000004,,9,3.263702869415283,11CE5DD2,learned_prior
73,32,15,True,76,1,40,and_affine_nmcts,5,7,truth_n5_19,2,40.46,,10,2.058534860610962,A9488D99,learned_prior
73,32,15,True,76,1,40,and_resource_nmcts,5,7,truth_n5_19,2,40.46,,10,2.115751028060913,A9488D99,learned_prior
60,28,13,True,68,1,36,and_affine_nmcts,5,7,truth_n5_21,2,35.78,,8,1.445573091506958,C5E7CE8A,learned_prior
60,28,13,True,68,1,36,and_resource_nmcts,5,7,truth_n5_21,2,35.78,,8,1.5875990390777588,C5E7CE8A,learned_prior
87,44,18,True,90,1,42,and_affine_nmcts,5,7,truth_n5_20,2,53.25,,12,3.3127570152282715,3A578A8E,learned_prior
87,44,18,True,90,1,42,and_resource_nmcts,5,7,truth_n5_20,2,53.25,,12,3.3884060382843018,3A578A8E,learned_prior
101,44,18,True,105,1,53,and_affine_nmcts,5,7,truth_n5_22,2,54.145,,12,3.4743340015411377,4A15544D,learned_prior
101,44,18,True,105,1,53,and_resource_nmcts,5,7,truth_n5_22,2,54.145,,12,3.5788369178771973,4A15544D,learned_prior
