dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_20,14,3,zero_checkpoint,True,6711,10564,3,0,15762303774,97660899864,184238573141,188596822107,90935922243,1,56,16,108768754455.674988,97660748032,-6656,108768573075.009995,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_21,14,4,keep_all_bennett,True,34,33,4,34,68,744,1361,1379,635,34,35,49,895.475000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_21,14,4,fanout_checkpoint,True,34,33,4,0,738,6640,12379,12637,5997,1,10,16,7404.685000,5896,-25,6509.210000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_21,14,4,zero_checkpoint,True,34,33,4,0,738,6640,12379,12637,5997,1,10,16,7404.685000,5896,-25,6509.210000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_22,14,3,keep_all_bennett,True,6196,9653,3,6196,12392,139640,248259,251787,112147,6196,6197,6211,166862.635000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_22,14,3,fanout_checkpoint,True,6196,9653,3,613,1677224552,18693070568,33200828383,33724319771,15031249203,614,665,629,20677282321.914997,18692930928,-5532,20677115459.279999,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_22,14,3,zero_checkpoint,True,6196,9653,3,0,5493673158,34080691352,64218585157,65742297327,31661605975,1,55,16,37952185387.934998,34080551712,-6142,37952018525.299995,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_23,14,3,keep_all_bennett,True,2998,4410,3,2998,5996,68344,121915,123785,55441,2998,2999,3013,81629.785000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_23,14,3,fanout_checkpoint,True,2998,4410,3,337,14205508,160208752,284174549,288491407,128282655,338,371,353,177186673.615000,160140408,-2628,177105043.830000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_23,14,3,zero_checkpoint,True,2998,4410,3,0,49238486,312866624,588241323,602279529,289412905,1,37,16,348324672.905000,312798280,-2962,348243043.120000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
