CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
39,16,8,True,43,,1,25,and_affine_nmcts,4,6,sweep_truth_n4_7,2,t_heavy,T-heavy,18.925,,5,0.6394259929656982,23B8
92,44,15,True,93,,1,43,and_mcts_factor,5,7,sweep_truth_n5_3,2,t_heavy,T-heavy,48.06000000000001,,15,0.04022622108459473,972A8469
64,64,15,True,84,,0,39,sshr_h,5,6,sweep_truth_n5_3,1,t_heavy,T-heavy,66.57499999999999,,15,0.0024559497833251953,972A8469
119,72,12,True,120,,0,48,and_direct_anf,5,6,sweep_truth_n5_4,2,t_heavy,T-heavy,76.62499999999999,,12,8.177757263183594e-05,6C031199
116,72,15,True,146,,0,74,and_cube_beam,5,6,sweep_truth_n5_3,3,t_heavy,T-heavy,77.84,,15,0.015142202377319336,972A8469
95,44,12,True,96,,1,42,and_mcts_factor,5,7,sweep_truth_n5_4,2,t_heavy,T-heavy,48.114999999999995,,12,0.04985690116882324,6C031199
90,56,12,True,108,,0,52,and_cube_beam,5,6,sweep_truth_n5_4,2,t_heavy,T-heavy,60.15,,12,0.006178140640258789,6C031199
76,76,12,True,100,,0,47,sshr_h,5,6,sweep_truth_n5_4,1,t_heavy,T-heavy,78.875,,12,0.0023441314697265625,6C031199
179,108,18,True,180,,0,72,and_direct_anf,5,6,sweep_truth_n5_5,3,t_heavy,T-heavy,114.94500000000001,,18,0.00010013580322265625,822E8F3
379,188,35,True,379,,1,157,and_mcts_factor,6,8,threshold3_n6,2,t_heavy,T-heavy,198.365,,35,1.4517250061035156,FFFEFEE8FEE8E880
28,12,7,True,33,,1,19,and_affine_nmcts,4,6,sweep_truth_n4_10,2,t_heavy,T-heavy,14.68,,5,0.6347801685333252,AD3C
84,52,18,True,98,,0,46,and_cube_beam,5,6,sweep_truth_n5_5,3,t_heavy,T-heavy,56.98,,18,0.008394956588745117,822E8F3
223,124,35,True,236,,1,100,and_affine_nmcts,6,8,threshold3_n6,2,t_heavy,T-heavy,131.025,,16,1.5633900165557861,FFFEFEE8FEE8E880
198,120,18,True,198,,0,78,and_direct_anf,5,6,sweep_truth_n5_6,2,t_heavy,T-heavy,126.35,,18,0.00012111663818359375,7A0CA6E
134,68,18,True,135,,1,59,and_mcts_factor,5,7,sweep_truth_n5_5,2,t_heavy,T-heavy,72.98,,18,0.15863490104675293,822E8F3
92,100,18,True,120,,0,50,sshr_h,5,6,sweep_truth_n5_5,2,t_heavy,T-heavy,104.22999999999999,,18,0.08159899711608887,822E8F3
85,52,18,True,103,,0,51,and_cube_beam,5,6,sweep_truth_n5_6,2,t_heavy,T-heavy,56.045,,18,0.007982730865478516,7A0CA6E
64,64,18,True,88,,0,43,sshr_h,5,6,sweep_truth_n5_6,1,t_heavy,T-heavy,66.615,,18,0.003095865249633789,7A0CA6E
88,52,10,True,88,,0,36,and_direct_anf,5,6,sweep_truth_n5_7,2,t_heavy,T-heavy,55.94,,10,8.487701416015625e-05,17FC695A
75,36,10,True,75,,1,33,and_mcts_factor,5,7,sweep_truth_n5_7,2,t_heavy,T-heavy,39.665,,10,0.020592212677001953,17FC695A
151,76,18,True,151,,1,65,and_mcts_factor,5,7,sweep_truth_n5_6,2,t_heavy,T-heavy,81.345,,18,0.16494107246398926,7A0CA6E
80,48,10,True,88,,0,40,and_cube_beam,5,6,sweep_truth_n5_7,2,t_heavy,T-heavy,51.84,,10,0.013457059860229492,17FC695A
52,52,10,True,64,,0,27,sshr_h,5,6,sweep_truth_n5_7,1,t_heavy,T-heavy,54.235,,10,0.030843019485473633,17FC695A
173,104,18,True,174,,0,70,and_direct_anf,5,6,sweep_truth_n5_8,3,t_heavy,T-heavy,110.815,,18,0.00010776519775390625,37F8A88B
128,64,18,True,129,,1,57,and_mcts_factor,5,7,sweep_truth_n5_8,2,t_heavy,T-heavy,68.85,,18,0.08915305137634277,37F8A88B
68,32,13,True,74,,1,36,and_affine_nmcts,5,7,sweep_truth_n5_0,2,t_heavy,T-heavy,35.57,,8,2.6435561180114746,E465E150
122,76,18,True,146,,0,70,and_cube_beam,5,6,sweep_truth_n5_8,3,t_heavy,T-heavy,81.91,,18,0.012176990509033203,37F8A88B
80,96,18,True,102,,0,44,sshr_h,5,6,sweep_truth_n5_8,2,t_heavy,T-heavy,99.93,,18,0.031468868255615234,37F8A88B
198,120,18,True,198,,0,78,and_direct_anf,5,6,sweep_truth_n5_9,2,t_heavy,T-heavy,126.35,,18,0.00010919570922851562,3B8FAA18
78,40,15,True,89,,1,43,and_affine_nmcts,5,7,threshold2_n5,2,t_heavy,T-heavy,43.830000000000005,,6,3.9215281009674072,FFFEFEE8
152,72,18,True,152,,1,66,and_mcts_factor,5,7,sweep_truth_n5_9,2,t_heavy,T-heavy,77.37,,18,0.1280813217163086,3B8FAA18
111,68,18,True,141,,0,73,and_cube_beam,5,6,sweep_truth_n5_9,3,t_heavy,T-heavy,73.735,,18,0.009700775146484375,3B8FAA18
82,80,18,True,106,,0,48,sshr_h,5,6,sweep_truth_n5_9,1,t_heavy,T-heavy,83.0,,18,0.002878904342651367,3B8FAA18
134,80,15,True,135,,0,55,and_direct_anf,5,6,sweep_truth_n5_10,3,t_heavy,T-heavy,85.96000000000001,,15,9.298324584960938e-05,815EF6D1
107,52,15,True,108,,1,48,and_mcts_factor,5,7,sweep_truth_n5_10,2,t_heavy,T-heavy,56.385,,15,0.07021975517272949,815EF6D1
72,32,18,True,83,,1,45,and_affine_nmcts,5,7,sweep_truth_n5_6,2,t_heavy,T-heavy,35.72,,12,2.587186813354492,7A0CA6E
92,56,15,True,105,,0,49,and_cube_beam,5,6,sweep_truth_n5_10,3,t_heavy,T-heavy,61.15,,15,0.010849237442016602,815EF6D1
72,76,15,True,100,,0,46,sshr_h,5,6,sweep_truth_n5_10,2,t_heavy,T-heavy,79.81,,15,0.0031669139862060547,815EF6D1
