name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches
terms_n20_0025_shallow,20,shallow,79,adaptive_all_depth,628.355,564,923,923,359,5,0.25723308399756206,True,7,0
terms_n20_0025_shallow,20,shallow,79,depth2_guard_direct,628.355,564,923,923,359,5,0.20606512499944074,True,7,0
terms_n20_0025_shallow,20,shallow,79,depth_policy,645.69,580,946,946,366,5,0.04425841700140154,True,5,0
terms_n20_0025_shallow,20,shallow,79,direct_logical_and,783.085,708,1141,1141,433,4,1.2079981388524175e-06,True,1,0
terms_n20_0025_shallow,20,shallow,79,screen_depth1,645.69,580,946,946,366,5,0.04425841700140154,True,5,0
terms_n20_0025_shallow,20,shallow,79,screen_depth2,628.355,564,923,923,359,5,0.20606512499944074,True,7,0
terms_n20_0025_shallow,20,shallow,79,screen_single,704.5900000000001,636,1030,1030,394,4,0.006909541996719781,True,3,0
terms_n20_0026_mixed,20,mixed,129,adaptive_all_depth,1022.975,924,1511,1511,587,5,0.4508054180041654,True,7,0
terms_n20_0026_mixed,20,mixed,129,depth2_guard_direct,1022.975,924,1511,1511,587,5,0.36589329200069187,True,7,0
terms_n20_0026_mixed,20,mixed,129,depth_policy,1022.975,924,1511,1511,587,5,0.36589329200069187,True,7,0
terms_n20_0026_mixed,20,mixed,129,direct_logical_and,1199.585,1088,1761,1761,673,4,7.920025382190943e-07,True,1,0
terms_n20_0026_mixed,20,mixed,129,screen_depth1,1057.775,956,1559,1559,603,5,0.07406929200078594,True,5,0
terms_n20_0026_mixed,20,mixed,129,screen_depth2,1022.975,924,1511,1511,587,5,0.36589329200069187,True,7,0
terms_n20_0026_mixed,20,mixed,129,screen_single,1101.275,996,1619,1619,623,5,0.010842834002687596,True,3,0
terms_n20_0027_deep,20,deep,181,adaptive_all_depth,1937.245,1760,2813,2813,1053,6,0.699039792008989,True,7,0
terms_n20_0027_deep,20,deep,181,depth2_guard_direct,1937.245,1760,2813,2813,1053,6,0.5650202500037267,True,7,0
terms_n20_0027_deep,20,deep,181,depth_policy,1937.245,1760,2813,2813,1053,6,0.5650202500037267,True,7,0
terms_n20_0027_deep,20,deep,181,direct_logical_and,2133.515,1940,3091,3091,1151,6,5.830006557516754e-07,True,1,0
terms_n20_0027_deep,20,deep,181,screen_depth1,1998.21,1816,2898,2898,1082,6,0.1167461250006454,True,5,0
terms_n20_0027_deep,20,deep,181,screen_depth2,1937.245,1760,2813,2813,1053,6,0.5650202500037267,True,7,0
terms_n20_0027_deep,20,deep,181,screen_single,2054.89,1868,2978,2978,1110,6,0.01727341700461693,True,3,0
terms_n20_0028_shallow,20,shallow,58,adaptive_all_depth,474.54499999999996,424,689,689,265,5,0.11999200099671725,True,5,0
terms_n20_0028_shallow,20,shallow,58,depth2_guard_direct,474.54499999999996,424,689,689,265,5,0.08742833400174277,True,5,0
terms_n20_0028_shallow,20,shallow,58,depth_policy,474.54499999999996,424,689,689,265,5,0.08742833400174277,True,5,0
terms_n20_0028_shallow,20,shallow,58,direct_logical_and,655.57,592,946,946,354,4,7.500057108700275e-07,True,1,0
terms_n20_0028_shallow,20,shallow,58,screen_depth1,474.54499999999996,424,689,689,265,5,0.027643541994621046,True,5,0
terms_n20_0028_shallow,20,shallow,58,screen_depth2,474.54499999999996,424,689,689,265,5,0.08742833400174277,True,5,0
terms_n20_0028_shallow,20,shallow,58,screen_single,539.795,484,779,779,295,5,0.004920125000353437,True,3,0
terms_n20_0029_mixed,20,mixed,103,adaptive_all_depth,936.83,848,1374,1374,526,4,0.35874137601058464,True,7,0
terms_n20_0029_mixed,20,mixed,103,depth2_guard_direct,936.83,848,1374,1374,526,4,0.2898608340037754,True,7,0
terms_n20_0029_mixed,20,mixed,103,depth_policy,936.83,848,1374,1374,526,4,0.2898608340037754,True,7,0
terms_n20_0029_mixed,20,mixed,103,direct_logical_and,1071.7450000000001,972,1561,1561,589,4,6.659975042566657e-07,True,1,0
terms_n20_0029_mixed,20,mixed,103,screen_depth1,958.515,868,1403,1403,535,4,0.059779041999718174,True,5,0
terms_n20_0029_mixed,20,mixed,103,screen_depth2,936.83,848,1374,1374,526,4,0.2898608340037754,True,7,0
terms_n20_0029_mixed,20,mixed,103,screen_single,1006.3,912,1468,1468,556,4,0.00910150000709109,True,3,0
terms_n20_0030_deep,20,deep,196,adaptive_all_depth,2109.6749999999997,1916,3059,3059,1143,7,0.7818550430019968,True,7,0
terms_n20_0030_deep,20,deep,196,depth2_guard_direct,2109.6749999999997,1916,3059,3059,1143,7,0.6307721670018509,True,7,0
