CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
20,28,7,True,31,,0,17,27,external_sshr_i_t,4,5,truth_n4_10,9,1,truth_n4_10,31.435000000000002,,benchmark_exports/traditional_resource_external_seed42,0.4983983039855957,AD3C
37,44,9,True,49,,0,22,30,external_sshr_h,4,5,truth_n4_13,9,1,truth_n4_13,48.434999999999995,,benchmark_exports/traditional_resource_external_seed42,0.0001571178436279297,8B9D
25,20,11,True,32,,0,14,29,external_sshr_i_cnot,4,5,truth_n4_12,8,1,truth_n4_12,23.62,,benchmark_exports/traditional_resource_external_seed42,0.18144822120666504,E465
23,20,9,True,29,,0,11,28,external_sshr_i_t,4,5,truth_n4_11,10,1,truth_n4_11,23.465,,benchmark_exports/traditional_resource_external_seed42,0.4567139148712158,BD9C
36,44,10,True,42,,0,15,31,external_sshr_h,4,5,truth_n4_14,5,1,truth_n4_14,48.22,,benchmark_exports/traditional_resource_external_seed42,0.00011324882507324219,1641
25,20,11,True,32,,0,14,29,external_sshr_i_t,4,5,truth_n4_12,8,1,truth_n4_12,23.62,,benchmark_exports/traditional_resource_external_seed42,0.45470690727233887,E465
24,32,10,True,34,,0,15,31,external_sshr_i_cnot,4,5,truth_n4_14,5,1,truth_n4_14,35.62,,benchmark_exports/traditional_resource_external_seed42,0.27741503715515137,1641
31,20,7,True,33,,0,15,32,external_sshr_h,4,5,truth_n4_15,8,1,truth_n4_15,23.884999999999998,,benchmark_exports/traditional_resource_external_seed42,0.0001239776611328125,972A
27,32,9,True,30,,0,11,30,external_sshr_i_cnot,4,5,truth_n4_13,9,1,truth_n4_13,35.64,,benchmark_exports/traditional_resource_external_seed42,0.45218586921691895,8B9D
27,32,9,True,31,,0,12,30,external_sshr_i_t,4,5,truth_n4_13,9,1,truth_n4_13,35.665,,benchmark_exports/traditional_resource_external_seed42,0.7878007888793945,8B9D
24,20,8,True,28,,0,10,33,external_sshr_h,4,5,truth_n4_16,6,1,truth_n4_16,23.480000000000004,,benchmark_exports/traditional_resource_external_seed42,8.106231689453125e-05,6C03
