CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
40,16,10,True,41,1,23,and_resource_nmcts,4,6,truth_n4_31,2,22.445,,7,0.06394481658935547,6B65
32,16,8,True,38,0,22,and_affine_nmcts,4,5,truth_n4_32,1,20.07,,6,0.019557952880859375,386E
32,16,8,True,38,0,22,and_resource_nmcts,4,5,truth_n4_32,1,20.07,,6,0.021747112274169922,386E
22,12,6,True,27,0,15,and_affine_nmcts,4,5,truth_n4_33,1,15.435,,3,0.019204139709472656,72FF
35,16,7,True,35,1,17,and_pareto_resource_nmcts,4,6,truth_n4_29,1,20.095,,5,0.18890595436096191,B38A
22,12,6,True,27,0,15,and_resource_nmcts,4,5,truth_n4_33,1,15.435,,3,0.020357131958007812,72FF
35,16,12,True,43,1,25,and_pareto_resource_nmcts,4,6,truth_n4_24,2,22.294999999999998,,5,0.4507431983947754,6CB
28,12,5,True,33,1,19,and_affine_nmcts,4,6,truth_n4_34,2,17.805,,5,0.05164504051208496,96DA
40,16,8,True,46,1,28,and_pareto_resource_nmcts,4,6,truth_n4_26,2,22.570000000000004,,6,0.41219115257263184,32E7
78,40,15,True,89,1,43,and_pareto_resource_nmcts,5,7,threshold2_n5,2,48.885,,6,2.476871967315674,FFFEFEE8
28,12,5,True,33,1,19,and_resource_nmcts,4,6,truth_n4_34,2,17.805,,5,0.05312991142272949,96DA
39,20,6,True,42,1,20,and_affine_nmcts,4,6,truth_n4_35,2,26.389999999999997,,6,0.04967236518859863,4737
32,16,8,True,38,0,22,and_pareto_resource_nmcts,4,5,truth_n4_32,1,20.07,,6,0.18335270881652832,386E
26,12,9,True,29,0,17,and_affine_nmcts,4,5,truth_n4_36,1,15.645,,7,0.019308805465698242,CF36
39,20,6,True,42,1,20,and_resource_nmcts,4,6,truth_n4_35,2,26.389999999999997,,6,0.05065178871154785,4737
26,12,9,True,29,0,17,and_resource_nmcts,4,5,truth_n4_36,1,15.645,,7,0.01916813850402832,CF36
33,16,9,True,37,1,19,and_pareto_resource_nmcts,4,6,truth_n4_28,2,22.065,,5,0.41797590255737305,A65E
22,12,6,True,27,0,15,and_pareto_resource_nmcts,4,5,truth_n4_33,1,15.435,,3,0.17681217193603516,72FF
33,16,9,True,42,1,24,and_affine_nmcts,4,6,truth_n4_37,2,22.189999999999998,,4,0.05717825889587402,DE8A
33,16,9,True,42,1,24,and_resource_nmcts,4,6,truth_n4_37,2,22.189999999999998,,4,0.058686017990112305,DE8A
32,16,8,True,36,1,18,and_affine_nmcts,4,6,truth_n4_38,2,22.0,,4,0.0525660514831543,1A9
36,16,11,True,39,1,21,and_affine_nmcts,4,6,truth_n4_39,2,22.235000000000003,,7,0.052356719970703125,C241
32,16,8,True,36,1,18,and_resource_nmcts,4,6,truth_n4_38,2,22.0,,4,0.08272814750671387,1A9
26,12,9,True,29,0,17,and_pareto_resource_nmcts,4,5,truth_n4_36,1,15.645,,7,0.17035913467407227,CF36
33,16,10,True,39,1,21,and_pareto_resource_nmcts,4,6,truth_n4_31,2,22.115000000000002,,5,0.4290280342102051,6B65
