CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
95,184,15,True,125,,0,38,cube_beam,5,6,majority_n5,2,194.055,,15,0.004518032073974609,FEE8E880
70,32,15,True,70,,1,34,and_affine_nmcts,5,7,majority_n5,2,40.19,,6,0.4270920753479004,FEE8E880
88,80,15,True,114,,0,56,sshr_h,5,6,majority_n5,1,87.78999999999999,,15,0.01976180076599121,FEE8E880
110,160,15,True,110,,0,15,direct_anf,5,6,threshold2_n5,1,168.20000000000002,,15,6.699562072753906e-05,FFFEFEE8
165,100,15,True,165,,0,65,and_direct_anf,5,6,threshold2_n5,2,113.725,,15,6.914138793945312e-05,FFFEFEE8
178,152,15,True,178,,1,23,neural_mcts,5,7,majority_n5,2,166.01999999999998,,15,0.15434598922729492,FEE8E880
170,144,15,True,174,,1,29,fprm_mcts,5,7,majority_n5,2,157.70000000000002,,21,1.2871661186218262,FEE8E880
144,128,15,True,144,,1,19,greedy_factor,5,7,threshold2_n5,2,140.10999999999999,,15,0.0010459423065185547,FFFEFEE8
144,128,15,True,144,,1,19,mcts_factor,5,7,threshold2_n5,2,140.10999999999999,,15,0.0974726676940918,FFFEFEE8
143,80,15,True,143,,1,59,and_mcts_factor,5,7,threshold2_n5,2,92.455,,15,0.09724807739257812,FFFEFEE8
94,96,15,True,105,,1,20,fprm_greedy,5,7,threshold2_n5,2,105.53500000000001,,6,0.04071497917175293,FFFEFEE8
167,80,15,True,169,,1,73,and_fprm_mcts,5,7,majority_n5,2,93.94500000000001,,17,1.7745769023895264,FEE8E880
94,96,15,True,105,,1,20,fprm_mcts,5,7,threshold2_n5,2,105.53500000000001,,6,0.6692121028900146,FFFEFEE8
82,44,15,True,93,,1,43,and_fprm_mcts,5,7,threshold2_n5,2,53.105000000000004,,6,0.9834609031677246,FFFEFEE8
70,144,15,True,107,,0,42,cube_greedy,5,6,threshold2_n5,2,152.825,,15,0.001726388931274414,FFFEFEE8
104,156,15,True,138,,0,46,cube_beam,5,6,threshold2_n5,2,166.69,,15,0.013826131820678711,FFFEFEE8
144,128,15,True,144,,1,19,neural_mcts,5,7,threshold2_n5,2,140.10999999999999,,15,0.12913894653320312,FFFEFEE8
40,64,15,True,59,,0,28,sshr_h,5,6,threshold2_n5,1,68.765,,15,0.025748014450073242,FFFEFEE8
6,0,6,True,6,,0,6,direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,6.389617919921875e-05,6996966996696996
6,0,6,True,6,,0,6,and_direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,6.008148193359375e-05,6996966996696996
6,0,6,True,6,,0,6,and_rc_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.018527984619140625,6996966996696996
6,0,6,True,6,,0,6,and_affine_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.011789083480834961,6996966996696996
6,0,6,True,6,,0,6,greedy_factor,6,7,parity_n6,0,0.38999999999999996,,6,7.390975952148438e-05,6996966996696996
6,0,6,True,6,,0,6,mcts_factor,6,7,parity_n6,0,0.38999999999999996,,6,0.00011014938354492188,6996966996696996
6,0,6,True,6,,0,6,and_mcts_factor,6,7,parity_n6,0,0.38999999999999996,,6,0.00011301040649414062,6996966996696996
6,0,6,True,6,,0,6,fprm_greedy,6,7,parity_n6,0,0.38999999999999996,,6,0.002104043960571289,6996966996696996
6,0,6,True,6,,0,6,fprm_mcts,6,7,parity_n6,0,0.38999999999999996,,6,0.0029828548431396484,6996966996696996
6,0,6,True,6,,0,6,and_fprm_mcts,6,7,parity_n6,0,0.38999999999999996,,6,0.0030672550201416016,6996966996696996
6,0,6,True,6,,0,6,and_fprm_neural_mcts,6,7,parity_n6,0,0.38999999999999996,,6,0.006726980209350586,6996966996696996
576,1280,6,True,768,,0,224,cube_greedy,6,7,parity_n6,2,1320.8,,6,0.007948875427246094,6996966996696996
576,1280,6,True,768,,0,224,cube_beam,6,7,parity_n6,2,1320.8,,6,0.08121991157531738,6996966996696996
6,0,6,True,6,,0,6,neural_mcts,6,7,parity_n6,0,0.38999999999999996,,6,0.0001418590545654297,6996966996696996
78,40,15,True,89,,1,43,and_affine_nmcts,5,7,threshold2_n5,2,48.885,,6,2.9018678665161133,FFFEFEE8
150,360,15,True,150,,0,15,direct_anf,6,7,majority_n6,1,370.4,,15,0.0001010894775390625,FEE8E880E8808000
285,180,15,True,285,,0,105,and_direct_anf,6,7,majority_n6,2,200.72500000000002,,15,8.916854858398438e-05,FEE8E880E8808000
120,96,6,True,144,,0,66,sshr_h,6,7,parity_n6,1,105.61999999999999,,6,0.3496849536895752,6996966996696996
70,32,15,True,70,,1,34,and_rc_nmcts,5,7,majority_n5,2,40.19,,6,5.86794114112854,FEE8E880
246,264,15,True,246,,1,21,greedy_factor,6,8,majority_n6,2,281.73999999999995,,15,0.0025610923767089844,FEE8E880E8808000
234,240,15,True,234,,1,25,mcts_factor,6,8,majority_n6,2,257.12,,15,0.370380163192749,FEE8E880E8808000
82,44,15,True,93,,1,43,and_fprm_neural_mcts,5,7,threshold2_n5,2,53.105000000000004,,6,3.8961751461029053,FFFEFEE8
246,264,15,True,246,,1,21,fprm_greedy,6,8,majority_n6,2,281.73999999999995,,15,0.1189119815826416,FEE8E880E8808000
78,40,15,True,89,,1,43,and_rc_nmcts,5,7,threshold2_n5,2,48.885,,6,6.0111260414123535,FFFEFEE8
167,80,15,True,169,,1,73,and_fprm_neural_mcts,5,7,majority_n5,2,93.94500000000001,,17,6.301853179931641,FEE8E880
219,108,15,True,219,,1,87,and_mcts_factor,6,8,majority_n6,2,124.915,,15,0.35354089736938477,FEE8E880E8808000
250,516,15,True,300,,0,65,cube_greedy,6,7,majority_n6,2,535.15,,15,0.005610942840576172,FEE8E880E8808000
194,412,15,True,240,,0,59,cube_beam,6,7,majority_n6,2,427.95,,15,0.027394771575927734,FEE8E880E8808000
234,240,15,True,234,,1,25,neural_mcts,6,8,majority_n6,2,257.12,,15,1.2191550731658936,FEE8E880E8808000
128,184,15,True,154,,0,62,sshr_h,6,7,majority_n6,2,196.05,,15,0.30123209953308105,FEE8E880E8808000
