name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,revkit_lower_score,revkit_non_clifford_rz,model,epsilon,t_per_rz,extra_T,revkit_synth_T,revkit_synth_depth,revkit_synth_gates,revkit_synth_score,relative,win
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,selinger_su2,1e-10,143,4576.0,4576.0,4646.0,4656.0,4694.05,-0.9914380971655607,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,ross_selinger_z,0.001,30,960.0,960.0,1030.0,1040.0,987.65,-0.9111122361160331,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,ross_selinger_z,1e-06,60,1920.0,1920.0,1990.0,2000.0,1971.6499999999999,-0.9554738417061852,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,ross_selinger_z,1e-10,100,3200.0,3200.0,3270.0,3280.0,3283.6500000000005,-0.9732645074840498,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,selinger_su2,0.001,50,1600.0,1600.0,1670.0,1680.0,1643.6499999999999,-0.946588385605208,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,selinger_su2,1e-06,90,2880.0,2880.0,2950.0,2960.0,2955.65,-0.9702975656792923,1
majority_n5,5,traditional_baseline_family,sshr_h,87.78999999999999,80.0,88.0,3.6500000000000004,32.0,selinger_su2,1e-10,143,4576.0,4576.0,4646.0,4656.0,4694.05,-0.9812976001533856,1
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,ross_selinger_z,0.001,30,3810.0,3810.0,4058.0,4065.0,3916.56,-0.9723954184284168,1
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,ross_selinger_z,1e-06,60,7620.0,7620.0,7868.0,7875.0,7821.81,-0.986177751696858,1
majority_n6,6,resource_nmcts_family,and_fprm_polarity_archive,108.115,92.0,171.0,11.31,127.0,ross_selinger_z,1e-10,100,12700.0,12700.0,12948.0,12955.0,13028.81,-0.9917018515121488,1
