CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,model,n,n_qubits,name,peak_ancilla,random_seed,score,skipped,terms,time_s,truth_table_hex,variant
33,12,9,True,36,1,22,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_22,2,1001,18.08,,6,0.493319034576416,815E,random_prior
24,12,9,True,28,0,16,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_30,1,1001,15.540000000000001,,4,0.1395878791809082,8B81,random_prior
32,16,8,True,37,0,21,and_affine_nmcts,random-prior:1001,4,5,truth_n4_32,1,1001,20.045,,7,0.02613091468811035,386E,random_prior
34,16,10,True,41,1,23,and_resource_nmcts,random-prior:1001,4,6,truth_n4_31,2,1001,22.205,,5,0.08872485160827637,6B65,random_prior
32,16,8,True,37,0,21,and_resource_nmcts,random-prior:1001,4,5,truth_n4_32,1,1001,20.045,,7,0.0341334342956543,386E,random_prior
35,16,7,True,35,1,17,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_29,1,1001,20.095,,5,0.2434680461883545,B38A,random_prior
22,12,6,True,27,0,15,and_affine_nmcts,random-prior:1001,4,5,truth_n4_33,1,1001,15.435,,3,0.023738861083984375,72FF,random_prior
22,12,6,True,27,0,15,and_resource_nmcts,random-prior:1001,4,5,truth_n4_33,1,1001,15.435,,3,0.03200197219848633,72FF,random_prior
28,12,5,True,33,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_34,2,1001,17.805,,5,0.06074404716491699,96DA,random_prior
35,16,12,True,43,1,25,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_24,2,1001,22.294999999999998,,5,0.6094367504119873,6CB,random_prior
40,16,8,True,46,1,28,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_26,2,1001,22.570000000000004,,6,0.5547587871551514,32E7,random_prior
28,12,5,True,33,1,19,and_resource_nmcts,random-prior:1001,4,6,truth_n4_34,2,1001,17.805,,5,0.07151317596435547,96DA,random_prior
